               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  56,            0.028818,           0.0061111,                   0,             0.87292,             0.75439,             0.80118,              0.3664,            0.042474,           0.0075311,                   0,             0.00637,             0.00637,             0.00637
                  57,            0.028728,           0.0063561,                   0,             0.86798,             0.74977,             0.80739,             0.33244,            0.043434,           0.0075248,                   0,            0.006304,            0.006304,            0.006304
                  58,            0.026768,           0.0057936,                   0,             0.87723,             0.75439,             0.81525,             0.37289,             0.04124,           0.0074182,                   0,            0.006238,            0.006238,            0.006238
                  59,            0.026236,           0.0061803,                   0,             0.84816,               0.735,             0.77523,             0.35981,            0.042934,           0.0078238,                   0,            0.006172,            0.006172,            0.006172
                  60,            0.028286,           0.0059548,                   0,             0.88216,             0.72236,             0.77805,             0.32094,            0.043353,           0.0077222,                   0,            0.006106,            0.006106,            0.006106
                  61,             0.02711,           0.0058954,                   0,             0.89744,              0.7676,             0.82815,             0.34318,            0.040438,           0.0072371,                   0,             0.00604,             0.00604,             0.00604
                  62,            0.027053,           0.0058101,                   0,             0.94602,             0.77193,             0.83319,             0.34962,            0.039928,           0.0072684,                   0,            0.005974,            0.005974,            0.005974
                  63,             0.02693,           0.0059993,                   0,             0.94866,             0.71053,             0.80695,             0.33181,            0.041936,           0.0073778,                   0,            0.005908,            0.005908,            0.005908
                  64,            0.026998,           0.0057319,                   0,             0.90187,             0.72559,             0.79656,             0.36504,            0.042045,           0.0074585,                   0,            0.005842,            0.005842,            0.005842
                  65,            0.027329,           0.0060816,                   0,             0.87778,              0.7193,             0.79378,             0.34106,            0.042909,           0.0075314,                   0,            0.005776,            0.005776,            0.005776
                  66,            0.027454,           0.0058931,                   0,             0.88649,             0.73684,             0.82787,             0.34991,            0.041172,           0.0075358,                   0,             0.00571,             0.00571,             0.00571
                  67,            0.025955,           0.0057396,                   0,             0.90053,             0.73684,             0.81442,             0.36222,            0.041162,           0.0076467,                   0,            0.005644,            0.005644,            0.005644
                  68,            0.026699,           0.0058443,                   0,             0.86614,             0.73789,             0.80311,             0.35541,            0.042785,           0.0076917,                   0,            0.005578,            0.005578,            0.005578
                  69,            0.025423,           0.0056059,                   0,             0.88668,             0.72807,             0.80638,             0.32396,             0.04248,           0.0077662,                   0,            0.005512,            0.005512,            0.005512
                  70,            0.025596,           0.0058552,                   0,             0.87251,             0.72042,             0.79572,             0.33363,            0.043694,           0.0075067,                   0,            0.005446,            0.005446,            0.005446
                  71,            0.025342,            0.005769,                   0,             0.87056,             0.69298,             0.81292,             0.34725,            0.043131,           0.0075037,                   0,             0.00538,             0.00538,             0.00538
                  72,            0.025199,           0.0058247,                   0,              0.8769,             0.74561,             0.80574,             0.35603,            0.041789,           0.0072773,                   0,            0.005314,            0.005314,            0.005314
                  73,            0.026141,            0.006001,                   0,             0.93536,              0.7616,             0.81343,             0.32577,            0.042635,           0.0073131,                   0,            0.005248,            0.005248,            0.005248
                  74,            0.024997,           0.0057721,                   0,             0.90547,             0.75626,             0.81872,             0.33766,            0.042316,           0.0073223,                   0,            0.005182,            0.005182,            0.005182
                  75,            0.024699,           0.0054986,                   0,             0.89419,             0.75439,             0.81848,             0.36276,            0.041065,           0.0074426,                   0,            0.005116,            0.005116,            0.005116
                  76,            0.025909,           0.0059874,                   0,             0.92027,             0.74561,             0.81913,             0.36036,            0.041928,           0.0076465,                   0,             0.00505,             0.00505,             0.00505
                  77,             0.02439,           0.0057399,                   0,             0.86456,             0.76316,             0.82759,             0.34892,              0.0424,           0.0075632,                   0,            0.004984,            0.004984,            0.004984
                  78,            0.024695,           0.0057064,                   0,             0.86547,             0.79825,             0.84647,             0.35088,            0.042078,           0.0076575,                   0,            0.004918,            0.004918,            0.004918
                  79,            0.024279,            0.005144,                   0,             0.91106,             0.77193,             0.83404,             0.36819,            0.041007,           0.0073636,                   0,            0.004852,            0.004852,            0.004852
                  80,             0.02378,           0.0053324,                   0,             0.92732,             0.70175,             0.80506,             0.33113,            0.043613,           0.0074935,                   0,            0.004786,            0.004786,            0.004786
                  81,              0.0243,           0.0053804,                   0,               0.878,             0.75756,             0.82167,             0.33164,            0.043251,           0.0077257,                   0,             0.00472,             0.00472,             0.00472
                  82,            0.023632,           0.0055959,                   0,             0.93137,              0.7193,             0.82109,              0.3508,            0.041775,           0.0077501,                   0,            0.004654,            0.004654,            0.004654
                  83,            0.023845,            0.005856,                   0,             0.90074,             0.71646,             0.80234,             0.34742,            0.042703,           0.0078498,                   0,            0.004588,            0.004588,            0.004588
                  84,            0.024183,           0.0057427,                   0,             0.91915,             0.73684,             0.81511,             0.36247,            0.042664,             0.00768,                   0,            0.004522,            0.004522,            0.004522
                  85,            0.022673,           0.0053105,                   0,             0.92286,             0.73458,             0.82286,             0.36045,            0.040526,           0.0074831,                   0,            0.004456,            0.004456,            0.004456
                  86,            0.023261,           0.0053561,                   0,             0.90165,             0.72383,             0.79776,             0.33874,            0.041444,           0.0074675,                   0,             0.00439,             0.00439,             0.00439
                  87,            0.022021,           0.0052254,                   0,             0.94224,              0.7155,             0.82674,             0.34501,            0.043311,           0.0074988,                   0,            0.004324,            0.004324,            0.004324
                  88,             0.02419,           0.0056326,                   0,             0.92444,             0.73684,             0.84424,             0.35239,            0.042085,           0.0074959,                   0,            0.004258,            0.004258,            0.004258
                  89,            0.022639,           0.0053439,                   0,             0.90247,             0.73051,             0.83205,             0.36683,            0.043539,           0.0074261,                   0,            0.004192,            0.004192,            0.004192
                  90,            0.023028,           0.0055335,                   0,             0.89805,             0.77193,             0.82386,             0.34138,            0.044099,           0.0074931,                   0,            0.004126,            0.004126,            0.004126
                  91,            0.022579,           0.0052233,                   0,             0.88719,             0.75439,             0.83803,              0.3775,            0.043568,           0.0075505,                   0,             0.00406,             0.00406,             0.00406
                  92,            0.022525,           0.0052406,                   0,             0.87946,             0.75439,             0.82661,             0.36817,            0.042944,           0.0076638,                   0,            0.003994,            0.003994,            0.003994
                  93,             0.02168,           0.0053747,                   0,             0.89042,              0.7807,             0.83371,             0.38299,             0.04322,           0.0074734,                   0,            0.003928,            0.003928,            0.003928
                  94,            0.021196,           0.0054931,                   0,             0.89697,             0.76365,             0.82634,             0.35798,            0.042876,           0.0074321,                   0,            0.003862,            0.003862,            0.003862
                  95,            0.021799,           0.0054249,                   0,              0.8633,             0.78947,             0.84197,             0.37791,            0.042136,           0.0073709,                   0,            0.003796,            0.003796,            0.003796
                  96,              0.0215,           0.0052323,                   0,             0.87899,             0.76465,             0.83291,             0.36528,            0.042368,           0.0075662,                   0,             0.00373,             0.00373,             0.00373
                  97,            0.021307,           0.0053246,                   0,             0.91415,             0.74561,             0.82995,             0.37011,            0.042224,           0.0078404,                   0,            0.003664,            0.003664,            0.003664
                  98,            0.021228,           0.0053361,                   0,             0.89501,             0.74778,             0.83694,             0.37309,            0.041602,           0.0079165,                   0,            0.003598,            0.003598,            0.003598
                  99,            0.020109,            0.005295,                   0,             0.90763,             0.75439,             0.84035,             0.36572,            0.041917,           0.0077074,                   0,            0.003532,            0.003532,            0.003532
                 100,            0.019493,           0.0051812,                   0,              0.8855,             0.78947,             0.84007,             0.36808,            0.041959,           0.0076157,                   0,            0.003466,            0.003466,            0.003466
                 101,            0.021446,           0.0052766,                   0,             0.92575,             0.75439,              0.8395,             0.38467,            0.041298,           0.0076077,                   0,              0.0034,              0.0034,              0.0034
                 102,            0.021818,           0.0049711,                   0,             0.86934,             0.79825,             0.83843,             0.37056,            0.041526,           0.0078161,                   0,            0.003334,            0.003334,            0.003334
                 103,            0.021501,           0.0048426,                   0,             0.86719,             0.77193,             0.82018,             0.36376,            0.042304,           0.0078273,                   0,            0.003268,            0.003268,            0.003268
                 104,            0.019861,           0.0051852,                   0,             0.91329,             0.76316,             0.82352,             0.36769,            0.041899,            0.007723,                   0,            0.003202,            0.003202,            0.003202
                 105,            0.020654,           0.0054457,                   0,              0.9165,             0.76316,             0.82513,             0.36022,            0.043176,           0.0076623,                   0,            0.003136,            0.003136,            0.003136
                 106,            0.020714,           0.0051665,                   0,             0.94931,             0.76316,             0.83715,             0.39079,            0.040882,           0.0076675,                   0,             0.00307,             0.00307,             0.00307
                 107,            0.019595,           0.0051463,                   0,              0.9351,             0.75833,             0.84243,             0.38206,            0.042241,            0.007696,                   0,            0.003004,            0.003004,            0.003004
                 108,            0.019426,           0.0049437,                   0,             0.91594,             0.75439,             0.84883,             0.36167,            0.042042,           0.0076622,                   0,            0.002938,            0.002938,            0.002938
                 109,            0.019825,           0.0046531,                   0,             0.91518,             0.75439,             0.83964,               0.387,            0.041522,           0.0076144,                   0,            0.002872,            0.002872,            0.002872
                 110,            0.019123,           0.0047908,                   0,             0.92526,             0.76023,             0.85142,             0.38145,            0.042045,           0.0076831,                   0,            0.002806,            0.002806,            0.002806
                 111,            0.019956,           0.0049186,                   0,             0.94217,             0.74561,             0.83861,             0.37167,            0.042165,           0.0077478,                   0,             0.00274,             0.00274,             0.00274
                 112,            0.018941,           0.0048856,                   0,             0.94133,             0.74561,             0.83734,             0.38354,            0.042103,           0.0077246,                   0,            0.002674,            0.002674,            0.002674
                 113,            0.019517,           0.0048127,                   0,             0.93489,             0.75578,             0.83927,             0.37386,            0.041737,            0.007746,                   0,            0.002608,            0.002608,            0.002608
                 114,             0.01876,           0.0046509,                   0,             0.93491,             0.74561,             0.83015,             0.35414,            0.042003,           0.0078176,                   0,            0.002542,            0.002542,            0.002542
                 115,            0.019237,           0.0052479,                   0,             0.94285,             0.74561,             0.83076,             0.35957,            0.041846,           0.0077184,                   0,            0.002476,            0.002476,            0.002476
                 116,            0.018441,           0.0046993,                   0,             0.92662,             0.77545,             0.85173,             0.36645,              0.0416,           0.0075901,                   0,             0.00241,             0.00241,             0.00241
                 117,             0.01873,           0.0049684,                   0,              0.9131,             0.76316,             0.83921,             0.37254,            0.042284,            0.007673,                   0,            0.002344,            0.002344,            0.002344
